pair,source_file,catalog_east_km,catalog_north_km,catalog_horizontal_km,waveform_east_km,waveform_north_km,waveform_horizontal_km,vector_difference_km,scalar_difference_km
P30,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,11.880618184468853,1.317800198230055,11.953480070991342,0.12619034363610118,0.20692789440750742,0.2423698750070269,11.806803595416675,-11.711110195984315
P31,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-1.1113704249669125,-8.006190883799889,8.082959649121822,-0.20375948958612777,-0.1561778477257847,0.2567283578350037,7.9023074020539195,-7.826231291286819
P33,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-14.69964919802431,-12.033659805019427,18.997069638444685,-0.47239710964976644,-0.12975867722480883,0.4898942166637463,18.550406034544576,-18.50717542178094
P34,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-6.107261532935837,-8.788798487335395,10.702411984345712,0.07668358411082266,0.029401426368995676,0.08212682840955864,10.770414426970827,-10.620285155936154
P35,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-4.841718380156124,-14.902872222103621,15.66964700754581,0.06003302398506205,0.20914113521009425,0.21758671468120006,15.88710529138736,-15.45206029286461
P37,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,0.562818780566222,9.8963197559929,9.912311016741425,0.4215401904496878,0.46291502425524855,0.6260882141085203,9.434462595866053,-9.286222802632905
P38,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-3.257549347109827,-1.6693490675381717,3.6603762181155948,0.21058170832462864,-0.1567332769940455,0.2625070970435107,3.783641043686933,-3.397869121072084
P39,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-3.977064385406201,-15.013381781907333,15.531216103543644,-0.030734717355532362,-1.0695552148287282,1.069996719816585,14.491508450872324,-14.461219383727059
P51,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-0.34313901294252,4.447787796812603,4.461004446050047,-0.06563166578774426,-0.020055337125868822,0.06862748794256142,4.476453126885842,-4.392376958107485
P79,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,10.595188811072067,1.3196778677100751,10.677058378448182,-0.1489088358820574,-0.12439457116170734,0.1940305407358712,10.84070936129155,-10.48302783771231
P112,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,5.9432296127892155,0.506936788475475,5.964810402506057,0.8833961299735338,0.39594452967180116,0.9680706549778484,5.061050696776018,-4.996739747528208
P123,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-3.1881176325414122,0.7659141549179203,3.2788288353656236,-0.02379481105977223,1.1239115161289166,1.1241633729670124,3.1845095429568997,-2.1546654623986115
P140,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-0.6072583147407092,-13.032109016705517,13.046249579251462,,,,,
P145,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-7.629620148949351,3.473543447480461,8.38311443908458,0.0862712078868133,0.2088094158416598,0.2259293992697386,8.378154195754549,-8.157185039814841
P321,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,6.858723789641779,3.196277057982204,7.566920050719544,-0.03174921855995494,0.09613620450384275,0.10124318592168295,7.555758836024492,-7.465676864797861
P355,/Users/jvidale/Documents/GitHub/Array_codes/Repeater_sim/outputs/multiphase_median_cc0.875_workbook_20260912_163314/median_relative_location_offsets_no_pkikp_with_bootstrap_uncertainty.csv,-0.47121109395342853,-7.8948785844552285,7.908928357138822,-0.521945908293498,-0.4248277738645312,0.6729830374021457,7.470223098020089,-7.235945319736676
